Client ID,Entry Date,Exit Date
17094,5/20/2022,8/10/2022
16563,3/7/2022,6/7/2022
16500,4/20/2022,
15830,12/1/2021,3/1/2022
15804,6/23/2022,7/1/2022
15804,2/8/2022,5/9/2022
15695,2/18/2022,2/21/2022
15668,4/25/2022,6/23/2022
15668,1/14/2022,2/17/2022
15668,3/21/2022,3/22/2022
15653,10/6/2021,11/13/2021
15653,11/17/2021,1/3/2022
15551,2/14/2022,2/15/2022
15522,10/25/2021,1/3/2022
15522,7/21/2022,
15522,10/6/2021,10/11/2021
15331,10/6/2021,2/2/2022
15307,9/6/2021,10/6/2021
15275,9/6/2021,10/6/2021
15275,11/15/2021,1/3/2022
15226,9/6/2021,9/13/2021
15226,9/15/2021,10/6/2021
15225,12/13/2021,1/31/2022
15225,12/1/2021,12/11/2021
15048,9/26/2021,9/28/2021
15048,9/24/2021,9/25/2021
15048,9/3/2021,9/23/2021
15048,8/31/2021,9/2/2021
15048,7/29/2021,7/30/2021
14890,7/29/2021,9/6/2021
14849,6/30/2021,7/29/2021
14810,9/14/2021,9/15/2021
14777,7/29/2021,9/6/2021
14325,2/2/2022,5/4/2022
14325,8/1/2022,
14302,11/15/2021,11/23/2021
14302,11/24/2021,12/6/2021
13976,3/24/2022,3/30/2022
13976,4/2/2022,4/29/2022
13776,11/21/2021,11/22/2021
13752,2/14/2022,5/15/2022
13752,8/11/2022,
13668,9/6/2021,10/1/2021
13655,3/3/2021,4/5/2021
13346,2/14/2022,3/1/2022
13340,2/5/2021,4/5/2021
13248,2/25/2022,8/9/2022
13233,6/29/2021,7/29/2021
13233,5/5/2022,7/28/2022
13127,8/25/2020,9/26/2020
13127,7/21/2020,8/22/2020
12941,7/8/2020,9/6/2020
12699,7/8/2020,7/28/2020
12530,6/7/2021,7/9/2021
12530,11/12/2020,4/9/2021
12438,7/29/2021,9/6/2021
12252,4/22/2021,4/29/2021
12252,7/5/2022,8/6/2022
12252,10/14/2020,3/15/2021
12252,3/29/2021,4/19/2021
12230,5/17/2022,6/7/2022
11751,7/1/2020,10/31/2020
11751,11/13/2020,1/2/2021
11508,11/15/2021,12/17/2021
11359,7/31/2021,8/11/2021
11241,1/3/2022,1/14/2022
11241,6/7/2022,
11081,10/6/2021,10/24/2021
11016,7/20/2020,1/16/2021
11016,7/8/2020,7/18/2020
10840,1/3/2022,2/14/2022
10840,8/27/2021,8/30/2021
10840,7/29/2021,8/5/2021
10840,8/6/2021,8/9/2021
10840,8/16/2021,8/26/2021
10395,1/3/2022,3/21/2022
10395,10/6/2021,11/6/2021
10363,8/13/2020,9/3/2020
9944,2/2/2022,2/3/2022
9634,9/14/2020,9/26/2020
9634,7/1/2020,7/29/2020
9634,10/5/2020,2/22/2021
9558,4/22/2021,6/7/2021
9201,8/11/2022,
9126,9/6/2021,10/6/2021
9082,1/3/2022,4/4/2022
9078,5/20/2021,7/29/2021
9078,5/4/2022,5/20/2022
9078,7/30/2020,10/28/2020
9078,11/13/2020,5/12/2021
8572,6/28/2021,7/8/2021
8328,7/1/2020,7/21/2020
8328,2/22/2021,7/7/2021
8328,7/28/2020,8/13/2020
7631,8/8/2022,8/9/2022
7470,4/4/2022,7/5/2022
7204,11/3/2021,2/2/2022
6879,2/22/2022,3/4/2022
6766,6/13/2022,
6766,7/29/2021,9/6/2021
6073,7/29/2021,9/6/2021
6073,3/24/2022,4/24/2022
6073,10/6/2021,11/14/2021
6073,5/9/2022,
5956,1/3/2022,2/11/2022
5877,11/10/2020,12/20/2020
5361,6/11/2021,7/29/2021
5361,5/4/2022,7/6/2022
5269,9/1/2021,9/5/2021
5269,9/14/2021,9/23/2021
4976,10/6/2021,10/14/2021
4834,8/11/2022,
4444,7/1/2020,11/25/2020
4444,2/1/2021,6/2/2021
3822,6/29/2021,7/28/2021
3553,10/6/2021,1/3/2022
3230,2/2/2022,5/4/2022
2547,7/8/2020,10/6/2020
2547,12/3/2020,3/2/2021
1865,6/10/2021,7/29/2021
1640,10/7/2021,10/12/2021
1605,7/1/2022,7/27/2022
1504,9/6/2021,9/11/2021
1386,7/5/2022,
1307,7/5/2022,
1307,10/6/2021,11/15/2021
1307,11/18/2021,1/3/2022
794,11/16/2020,5/15/2021
794,7/16/2022,7/31/2022
362,7/1/2020,1/6/2021
362,8/11/2022,
331,7/31/2022,
331,1/10/2022,2/11/2022
331,12/18/2021,1/9/2022
331,7/5/2022,7/29/2022
331,3/18/2022,4/13/2022
331,3/1/2022,3/17/2022
64,3/7/2022,3/14/2022
